"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"716GS2050-GS",100,109.73,99,10972.5,9900,-1072.5,-9.77,0,""
"AJANTPHARM",19,489.54,2824.6,9301.2,53667.4,44366.2,476.99,0,""
"APOLLOTYRE",250,183.59,408.45,45897.5,102112.5,56215,122.48,0,""
"AXISBANK",62,708.24,1268.3,43910.6,78634.6,34724,79.08,0,""
"BAJAJ-AUTO",19,3076.33,9997.75,58450.25,189957.25,131507,224.99,0,""
"BAJFINANCE",80,673.1,937,53848.35,74960,21111.65,39.21,0,""
"BALKRISIND",15,2427.47,2160.8,36412,32412,-4000,-10.99,0,""
"BANKBARODA",184,188.19,263.5,34627.15,48484,13856.85,40.02,0,""
"BANKIETF",8500,50.47,56.18,429035.72,477530,48494.28,11.3,0,""
"BHARTIARTL",180,322.89,1886.8,58120,339624,281504,484.35,0,""
"BRIGADE",40,446.04,790,17841.6,31600,13758.4,77.11,0,""
"BRITANNIA",14,3489.94,5726,48859.1,80164,31304.9,64.07,0,""
"CASTROLIND",180,155.25,184.85,27945,33273,5328,19.07,0,""
"CIEINDIA",88,373.58,473.75,32874.85,41690,8815.15,26.81,0,""
"CIPLA",45,990.66,1309.9,44579.85,58945.5,14365.65,32.22,0,""
"COALINDIA",470,194.39,481.45,91363.5,226281.5,134918,147.67,0,""
"COFORGE",65,909.05,1195.95,59088.4,77736.75,18648.35,31.56,0,""
"COLPAL",21,1503.03,2096.75,31563.7,44031.75,12468.05,39.5,0,""
"DLF",66,557.49,587.15,36794.1,38751.9,1957.8,5.32,0,""
"DMART",12,3474.64,4590.7,41695.7,55088.4,13392.7,32.12,0,""
"DRREDDY",60,992.6,1322.95,59555.95,79377,19821.05,33.28,0,""
"EICHERMOT",7,3506.83,7110.4,24547.8,49772.8,25225,102.76,0,""
"EMBASSY-RR",92,359.33,424.76,33058.28,39077.92,6019.64,18.21,0,""
"ENDURANCE",24,2007.86,2331.2,48188.7,55948.8,7760.1,16.1,0,""
"ENRIN",35,234.44,3282.3,8205.53,114880.5,106674.97,1300.04,0,""
